SL.NO,College Name,Location,District,Estd.,Type
1,Madras Medical College,Chennai,Chennai,1835,Medical
2,Stanley Medical College,"Royapuram, Chennai",Chennai,1938,Medical
3,Tamil Nadu Government Dental College,Chennai,Chennai,1953,Dental
4,Madurai Medical College,Madurai,Madurai,1954,Medical
5,Thanjavur Medical College,Thanjavur,Thanjavur,1958,Medical
6,Government Kilpauk Medical College,"Chetpet, Chennai",Chennai,1960,Medical
7,Chengalpattu Medical College,Chengalpattu,Kanchipuram,1965,Medical
8,Kanyakumari Government Medical College,Kanyakumari,Kanyakumari,1965,Medical
9,Government Siddha Medical College Chennai,"Anna Hospital Campus, Arumbakkam, Chennai",Chennai,1965,Siddha
10,Coimbatore Medical College,Coimbatore,Coimbatore,1966,Medical
11,Tirunelveli Medical College,Tirunelveli,Tirunelveli,1966,Medical
12,Government Siddha Medical College,Palayamkottai,Tirunelveli,1985,Siddha
13,Government Homeopathy Medical College,Thirumangalam,Madurai,1985,Homoeopathy
14,Government Unani Medical College,"AAGHIM Campus, Chennai",Chennai,1985,Unani
15,Government Yoga & Naturopathy Medical College,"AAGHIM campus, Arumbakkam, Chennai",Chennai,1985,Yoga and Naturopathy
16,Mohan Kumaramangalam Medical College,Salem,Salem,1986,Medical
17,IRT Perundurai Medical College,Perundurai,Erode,1986,Medical
18,K.A.P.Viswanatham Government Medical College,Trichy,Tiruchirappalli,1997,Medical
19,Thoothukudi Government Medical College,Thoothukudi,Thoothukudi,2000,Medical
20,Government Theni Medical College,Theni,Theni,2004,Medical
21,Government Vellore Medical College,Adukamparai,Vellore,2005,Medical
22,Government Thiruvarur Medical College,Thiruvarur,Thiruvarur,2007,Medical
23,Government Dharmapuri Medical College,Dharmapuri,Dharmapuri,2008,Medical
24,Government Ayurveda Medical College And Hospital,"Kottar, Nagercoil",Kanyakumari,2009,Ayurveda
25,Government Villupuram Medical College,Villupuram,Villupuram,2011,Medical
26,Government Sivagangai Medical College and Hospital,Sivaganga,Sivaganga,2012,Medical
27,Government Tiruvannamalai Medical College and Hospital,Tiruvannamalai,Tiruvannamalai,2013,Medical
28,"Government Medical College, Chennai",Omandurar Government Estate,Chennai,2015,Medical
29,Pudukkottai Government Medical College and Hospital,Pudukkottai,Pudukkottai,2017,Medical
