College Name,University Name,Management of College,State,Course Name,Year of Inspection,Annual Intake
"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,Andaman  Nicobar Islands,MBBS,2015,100
ACSR Government Medical College Nellore,"NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2014,150
"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2000,150
"Andhra Medical College, Visakhapatnam","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1923,200
"Apollo Institute of Medical Sciences and Research, Chittoor","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,150
"Ayaan Institute of Medical Sciences, Teaching Hospital & Research Centre, Kanaka Mamidi, R.R. Dist","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2018,150
"Dr. P.S.I. Medical College , Chinoutpalli","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Fathima Instt. of Medical Sciences,Kadapa","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2010,100
"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,
"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,Andhra Pradesh,MBBS,2015,
"Government Medical College, Ananthapuram","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2000,100
"Government Siddhartha Medical College, Vijaywada","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1980,150
"Great Eastern Medical School and Hospital,Srikakulam","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2010,150
"GSL Medical College, Rajahmundry","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Guntur Medical College, Guntur","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1946,200
"Katuri Medical College, Guntur","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
